1	Удаленная настройка роутера	20	Установка вай-фай роутера позволяет решить множество проблем. Членам семьи больше не придется ждать, когда освободится компьютер с интернетом, по квартире не будут разбросаны провода, а доступ в сеть станет возможна практически с любого устройства (телефона, планшета, телевизора или приставки).	router.jpg	0
2	Установка оборудования абоненту	60	Установка клиентского оборудования 	home.jpg	1
3	Подключение абонента	30	Подключение абонента к сети компании	1.jpg	1
4	Удаленная настройка магистрального оборудования	60	Настройка магистрального оборудования, обеспечиваюшего связью множество абонентов	 NULL	0
5	Монтаж магистрального оборудования	120	Монтажные работы связанные с установкой оборудования, обеспечивающего связью целые районы	magistral.jpg	1
6	Проверка внутредомовых линий с выездом специалиста	30	"Проверка внутредомовых линий с выездом специалиста. Специалист произведет \""Прозвон\"" проблемного участка линии и произведет его ремонт при необходимости"	cabel.jpg	1
7	Монтаж трубостойки	120	Монтаж трубостойки для подключения новых абонентов	 NULL	1
8	Удаленная настройка внутредомового оборудования	30	Удаленная настройка общедомового оборудования	 NULL	1
9	Диагностика и настройка оборудования/подключения	60	 NULL	magistrral.jpg	1
10	Пуско-наладка оборудования доступа	130	Полный комплекс работ от монтажа оборудования и подготовки к включению, до настройки и созданию всех кросс-коннектов и интеграции	 NULL	1
11	Комплектация и монтаж шкафа связи	155	 NULL	magistral.jpeg	1
12	Настройка спутникового канала связи	180	 NULL	 NULL	1
13	Монтаж магистрального оборудования для сотовой связи	2880	Монтаж оборудования для обеспечения работы сотовой сети	magistal2.jpeg	1
14	Расчет стоимости и вышки сотовой связи	120	 NULL	 NULL	0
15	Консультация по подбору необходимого оборудовния	300	 NULL	 NULL	0
